has_coal,id,name,number,parliament_id,region_id
,30726,Bremen II - Bremerhaven,56,6,2944387
,30764,Zollernalb - Sigmaringen,295,6,2953481
,30923,Mecklenburgische Seenplatte II - Landkreis Rostock III,17,6,2872567
,30745,Krefeld II - Wesel II,115,6,2861876
,30857,Berlin-Spandau - Charlottenburg Nord,79,6,2950157
,30517,Berlin-Friedrichshain - Lichtenberg,258,6,2950157
,30325,Herzogtum Lauenburg - Stormarn-Süd,10,6,2838632
,30769,Rotenburg I - Heidekreis,35,6,2862926
,30770,Harburg,37,6,2862926
,30537,Senftenberg - Calau - Spremberg,281,6,2945356
,30953,Ostholstein - Stormarn-Nord,9,6,2838632
,30771,Harburg,36,6,2862926
,30457,Solingen - Remscheid - Wuppertal II,104,6,2861876
,30970,Solingen - Remscheid - Wuppertal II,103,6,2861876
,30430,Krefeld I - Neuss II,111,6,2861876
,30772,Esslingen,262,6,2953481
,30573,Kyffhäuserkreis - Sömmerda - Weimarer Land I,191,6,2822542
,30272,Frankfurt am Main I - Main-Taunus,138,6,2905330
,30995,Donau-Ries,254,6,2951839
,31005,Märkisch-Oderland – Barnim II,59,6,2945356
,31031,Lörrach – Müllheim,282,6,2953481
,30279,Biberach,293,6,2953481
,30773,Esslingen,261,6,2953481
,31048,Ludwigslust-ParchimII-Nordwestmecklenburg II-Landkr RostockI,13,6,2872567
,31074,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,196,6,2822542
,30470,Nürnberg-Nord,230,6,2951839
,30616,Dahme-Spreewald-Teltow-Fläming III - Oberspreewald-Lausitz I,62,6,2945356
,30298,Offenburg,285,6,2953481
,30348,Backnang - Schwäbisch Gmünd,173,6,2953481
,30774,Kulmbach,241,6,2951839
,31105,Dahme-Spreewald – Teltow-FlämingIII – Oberspreewald-Lausitz I,62,6,2945356
,30603,Backnang - Schwäbisch Gmünd,270,6,2953481
,30809,Görlitz,157,6,2842566
,30316,Fürth,243,6,2951839
,31141,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,6,2945356
,30793,Döbeln - Mittweida - Meißen II,163,6,2842566
,30587,Frankfurt am Main II,183,6,2905330
,30805,Wartburgkreis-Kreisfr.Stadt Eisenach-Unstrut-Hainich-Kreis I,191,6,2822542
,30617,Dahme-Spreewald-Teltow-Fläming III-Oberspreewald-Lausitz I,63,6,2945356
,30563,Wismar-Gadebusch-Grevesmühlen-Doberan-Bützow,262,6,2872567
,30654,Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis,198,6,2822542
,30357,Ingolstadt,218,6,2951839
,30503,Rostock-Land - Ribnitz-Damgarten - Teterow - Malchin,266,6,2872567
,30491,Berlin-Mitte - Prenzlauer Berg,249,6,2950157
,30817,Berlin-Lichtenberg - Hohenschönhausen,87,6,2950157
,30679,Erfurt - Weimar - Weimarer Land II,194,6,2822542
,30585,Frankfurt am Main III,140,6,2905330
,30704,Rheingau-Taunus - Limburg,179,6,2905330
,30373,Schwäbisch-Hall-Hohenlohe,172,6,2953481
,30401,Sankt Wendel,247,6,2842635
,30514,Elbe-Havel-Gebiet und Haldensleben - Wolmirstedt,284,6,2842565
,30413,Dortmund II,114,6,2861876
