academic_title,active_country_id,adel,alt_first_names,alt_surnames,aph_id,clean_name,country_of_birth_id,creation_date,date_of_death,dob,family_status,first_name,gender,id,in_parlperiod,information_source,occupation,ortszusatz,party_id,place_of_birth,positions,prefix,religion,short_bio,surname,title,unique_id,year_of_birth
,2921044,,['Klaus-Jürgen'],['Wamick'],,Klaus-Jürgen Wamick,,2019-05-28 16:29:23.175466+00:00,,,,Klaus-Jürgen,,83950,[13],from protocol scraping 13/007 PDF/SP: Klaus-Jürgen Wamick (PDS),,,108.0,,,,,,Wamick,,,
,2921044,,['Marina'],['Steindor:'],,Marina Steindor:,,2019-05-28 16:29:51.202819+00:00,,,,Marina,,83955,[13],from protocol scraping 13/009 PDF/SP: Marina Steindor: (BÜNDNIS 90/DIE GRÜNEN),,,,,,,,,Steindor:,,,
,2921044,,"['Xaver', 'Franz Xaver', 'Franz']",['Geisenhofer'],,Franz Xaver Geisenhofer,2921044.0,,2000-01-01,1914-01-01,,Franz Xaver,2.0,77498,"[5, 6, 7, 8]",MDB Stammdata,Angestellter,,107.0,Herschenhofen / Krs. Freising Oberbayern,['parliamentarian'],,,,Geisenhofer,,,1914.0
Dr.,2921044,,['Hans'],['Geisler'],,Dr. Hans Geisler (Radeberg),2921044.0,,,1940-01-01,,Hans,2.0,77499,"[11, 12]",MDB Stammdata,"Dipl.-Chemiker, Färber",Radeberg,107.0,Lauban / Krs. Lauban,['parliamentarian'],,,,Geisler,Dr.,,1940.0
Dr.,2921044,,['Heiner'],['Geißler'],,Dr. Heiner Geißler,2921044.0,,2017-01-01,1930-01-01,,Heiner,2.0,77500,"[5, 9, 10, 11, 12, 13, 14]",MDB Stammdata,Bundesminister a. D.,,107.0,Oberndorf / Neckar,['parliamentarian'],,,,Geißler,Dr.,,1930.0
,2921044,,['Eberhardt'],['Gauland'],,Dr. Eberhardt Gauland,,,,,,Eberhardt,,80925,[19],from protocol scraping 19/002 TEI/POI: Dr. Eberhardt Alexander Gauland,,,,,,,,,Gauland,Dr.,,
,2921044,,['Armin‑-Paulus'],['Hampel'],,Armin‑-Paulus Hampel,,,,,,Armin‑-Paulus,,80926,[19],from protocol scraping 19/004 TEI/POI: Armin‑­Paulus Hampel,,,,,,,,,Hampel,,,
,2921044,,['François'],['Rugy'],,François Rugy,,,,,,François,,80927,[19],from protocol scraping 19/009 Bundestag: François de Rugy,,,,,,,,,Rugy,,,
,2921044,,['Franziska'],['Giffey'],,Franziska Giffey,,,,,,Franziska,,80928,[19],from protocol scraping 19/019 Bundestag: Franziska Giffey,,,,,,,,,Giffey,,,
,2921044,,['Svenja'],['Schulze'],,Svenja Schulze,,,,,,Svenja,,80929,[19],from protocol scraping 19/019 Bundestag: Svenja Schulze,,,,,,,,,Schulze,,,
,2921044,,['Verena'],['Bentele'],,Verena Bentele,,,,,,Verena,,80930,[19],from protocol scraping 19/029 Bundestag: Verena Bentele,,,,,,,,,Bentele,,,
,2921044,,['AfD'],['Hardt'],,AfD Hardt,,,,,,AfD,,80931,[19],from protocol scraping 19/032 TEI/POI: Beifall bei der AfD -Jürgen Hardt,,,,,,,,,Hardt,,,
,2921044,,['Jürgen'],['Kamann'],,Jürgen Kamann,,2020-02-05 13:39:13.469821+00:00,,,,Jürgen,,84162,[19],from protocol scraping 19/109 Bundestag XML: Jürgen Kamann,,,,,,,,,Kamann,,,
,2921044,,['Susanne'],['Kasthner'],,Susanne Kasthner,,2019-05-28 16:31:03.004517+00:00,,,,Susanne,,83956,[13],from protocol scraping 13/016 PDF/SP: Susanne Kasthner,,,110.0,,,,,,Kasthner,,,
,2921044,,['Isabel'],['Mackensen'],,Isabel Mackensen,,2020-02-05 13:39:43.821674+00:00,,,,Isabel,,84163,[19],from protocol scraping 19/110 Bundestag XML: Isabel Mackensen,,,110.0,,,,,,Mackensen,,,
,2921044,,['Sevim'],['delen'],,Sevim delen,,2020-02-05 13:41:46.510327+00:00,,,,Sevim,,84164,[19],from protocol scraping 19/117 Bundestag XML: Sevim Da ğ delen,,,,,,,,,delen,,,
,2921044,,['Joe'],['Weingarten'],,Dr. Joe Weingarten,,2020-02-05 13:43:50.427259+00:00,,,,Joe,,84165,[19],from protocol scraping 19/124 Bundestag XML: Dr. Joe Weingarten,,,,,,,,,Weingarten,Dr.,,
,2921044,,['SP'],['Diaby'],,SP Diaby,,2020-02-05 13:43:55.527195+00:00,,,,SP,,84166,[19],from protocol scraping 19/124 Bundestag XML: Beifall bei der SPD Dr. Karamba Diaby,,,,,,,,,Diaby,,,
,2921044,,['in'],['Roth'],,in Roth,,2020-02-05 13:44:13.903027+00:00,,,,in,,84167,[None],from protocol scraping None/??? : Vizepräsident in Claudia Roth,,,,,['Vizepräsident'],,,,Roth,,,
,2921044,,['Burkhard'],['hirsch'],,Dr. Burkhard hirsch,,2019-05-28 16:32:49.469274+00:00,,,,Burkhard,,83966,[13],from protocol scraping 13/024 PDF/SP: Dr. Burkhard hirsch,,,,,,,,,hirsch,Dr.,,
,2921044,,['Stefan'],['heym'],,Stefan heym,,2019-05-28 16:31:58.464870+00:00,,,,Stefan,,83957,[13],from protocol scraping 13/021 PDF/SP: Stefan heym,,,,,,,,,heym,,,
