Group num: 0, TC(X;Y_j): 17.879
drucksache, 0.416, 1.000, 0.416
rufe, 0.363, 1.000, 0.363
überweisungsvorschlag, 0.360, 1.000, 0.360
beratung, 0.356, 1.000, 0.356
reaktorsicherheit, 0.337, 1.000, 0.337
tagesordnungspunkt, 0.322, 1.000, 0.322
aussprache, 0.320, 1.000, 0.320
ausschuss, 0.308, 1.000, 0.308
beschlussempfehlung, 0.299, 1.000, 0.299
naturschutz, 0.295, 1.000, 0.295
aufgeführten, 0.283, 1.000, 0.283
interfraktionell, 0.281, 1.000, 0.281
drucksachen, 0.278, 1.000, 0.278
weiterer, 0.260, 1.000, 0.260
bündnis, 0.258, 1.000, 0.258
einverstanden, 0.251, 1.000, 0.251
antrags, 0.246, 1.000, 0.246
berichterstattung, 0.241, 1.000, 0.241
ausschusses, 0.237, 1.000, 0.237
tagesordnung, 0.230, 1.000, 0.230
eröffne, 0.220, 1.000, 0.220
überweisung, 0.200, 1.000, 0.200
berichts, 0.198, 1.000, 0.198
rechtsausschuss, 0.198, 1.000, 0.198
fraktion, 0.197, 1.000, 0.197
entwurfs, 0.191, 1.000, 0.191
innenausschuss, 0.184, 1.000, 0.184
ausschüsse, 0.179, 1.000, 0.179
interfraktionellen, 0.179, 1.000, 0.179
schließe, 0.178, 1.000, 0.178
tagesordnungspunkte, 0.174, 1.000, 0.174
angelegenheiten, 0.173, 1.000, 0.173
finanzausschuss, 0.173, 1.000, 0.173
empfiehlt, 0.169, 1.000, 0.169
stadtentwicklung, 0.165, 1.000, 0.165
enthaltungen, 0.163, 1.000, 0.163
technologie, 0.161, 1.000, 0.161
technikfolgenabschätzung, 0.160, 1.000, 0.160
überweisungen, 0.158, 1.000, 0.158
umwelt, 0.158, 1.000, 0.158
angenommen, 0.157, 1.000, 0.157
verbraucherschutz, 0.156, 1.000, 0.156
haushaltsausschuss, 0.154, 1.000, 0.154
jugend, 0.149, 1.000, 0.149
senioren, 0.149, 1.000, 0.149
ernährung, 0.149, 1.000, 0.149
vorgesehen, 0.146, 1.000, 0.146
vereinbarung, 0.143, 1.000, 0.143
beschlossen, 0.141, 1.000, 0.141
linke, 0.140, 1.000, 0.140
vorgeschlagen, 0.139, 1.000, 0.139
zusatzpunkt, 0.138, 1.000, 0.138
erteile, 0.136, 1.000, 0.136
vereinfachten, 0.132, 1.000, 0.132
soziales, 0.131, 1.000, 0.131
auswärtiger, 0.128, 1.000, 0.128
fraktionen, 0.125, 1.000, 0.125
gesetzes, 0.121, 1.000, 0.121
stimmt, 0.119, 1.000, 0.119
verkehr, 0.117, 1.000, 0.117
humanitäre, 0.117, 1.000, 0.117
köln, 0.116, 1.000, 0.116
familie, 0.112, 1.000, 0.112
stunde, 0.108, 1.000, 0.108
handzeichen, 0.103, 1.000, 0.103
vorlagen, 0.103, 1.000, 0.103
cducsu, 0.102, 1.000, 0.102
landwirtschaft, 0.101, 1.000, 0.101
enthaltung, 0.099, 1.000, 0.099
schlussabstimmung, 0.098, 1.000, 0.098
buchstabe, 0.094, 1.000, 0.094
verteidigungsausschuss, 0.092, 1.000, 0.092
änderung, 0.091, 1.000, 0.091
anzunehmen, 0.090, 1.000, 0.090
grünen, 0.088, 1.000, 0.088
abstimmung, 0.088, 1.000, 0.088
höre, 0.088, 1.000, 0.088
gemäß, 0.084, 1.000, 0.084
bildung, 0.083, 1.000, 0.083
gesundheit, 0.082, 1.000, 0.082
geschäftsordnung, 0.082, 1.000, 0.082
wirtschaft, 0.082, 1.000, 0.082
unterrichtung, 0.081, 1.000, 0.081
protokoll, 0.079, 1.000, 0.079
kultur, 0.079, 1.000, 0.079
menschenrechte, 0.079, 1.000, 0.079
bünd, 0.078, 1.000, 0.078
gegenstimmen, 0.074, 1.000, 0.074
fall, 0.074, 1.000, 0.074
koalitionsfraktionen, 0.073, 1.000, 0.073
verlangen, 0.072, 1.000, 0.072
ausschussfassung, 0.071, 1.000, 0.071
medien, 0.070, 1.000, 0.070
dritte, 0.070, 1.000, 0.070
bericht, 0.069, 1.000, 0.069
hilfe, 0.069, 1.000, 0.069
vorlage, 0.069, 1.000, 0.069
dagegen, 0.069, 1.000, 0.069
zusatzpunkte, 0.068, 1.000, 0.068
stimmen, 0.066, 1.000, 0.066
tourismus, 0.066, 1.000, 0.066
petitionen, 0.065, 1.000, 0.065
sammelübersicht, 0.065, 1.000, 0.065
überweisen, 0.064, 1.000, 0.064
oppositionsfraktionen, 0.064, 1.000, 0.064
petitionsausschusses, 0.064, 1.000, 0.064
zusammenarbeit, 0.064, 1.000, 0.064
erheben, 0.062, 1.000, 0.062
verfahren, 0.062, 1.000, 0.062
zweiter, 0.062, 1.000, 0.062
zusatzpunktliste, 0.060, 1.000, 0.060
abgewichen, 0.060, 1.000, 0.060
bitte, 0.060, 1.000, 0.060
quedlinburg, 0.057, 1.000, 0.057
beschlussempfehlungen, 0.057, 1.000, 0.057
abzulehnen, 0.056, 1.000, 0.056
finanzausschusses, 0.054, 1.000, 0.054
überwiesen, 0.053, 1.000, 0.053
eröffnet, 0.053, 1.000, 0.053
sitzung, 0.051, 1.000, 0.051
erweitern, 0.051, 1.000, 0.051
titel, 0.050, 1.000, 0.050
erste, 0.050, 1.000, 0.050
entschließungsantrag, 0.049, 1.000, 0.049
taubadel, 0.049, 1.000, 0.049
cramon, 0.049, 1.000, 0.049
aktuelle, 0.049, 1.000, 0.049
mitberatung, 0.048, 1.000, 0.048
sportausschuss, 0.048, 1.000, 0.048
bulling, 0.048, 1.000, 0.048
abgesetzt, 0.047, 1.000, 0.047
hauses, 0.047, 1.000, 0.047
frist, 0.046, 1.000, 0.046
forschung, 0.046, 1.000, 0.046
überwiesene, 0.044, 1.000, 0.044
rechtsausschusses, 0.044, 1.000, 0.044
beschlussfassung, 0.044, 1.000, 0.044
federführung, 0.043, 1.000, 0.043
abgelehnt, 0.043, 1.000, 0.043
herborn, 0.042, 1.000, 0.042
bremen, 0.042, 1.000, 0.042
strittig, 0.041, 1.000, 0.041
zweite, 0.041, 1.000, 0.041
drobinski, 0.041, 1.000, 0.041
schriftführer, 0.040, 1.000, 0.040
verbundene, 0.040, 1.000, 0.040
peine, 0.040, 1.000, 0.040
gesetzentwurf, 0.039, 1.000, 0.039
wirtschaftliche, 0.039, 1.000, 0.039
abstimmen, 0.039, 1.000, 0.039
einstimmig, 0.039, 1.000, 0.039
soweit, 0.038, 1.000, 0.038
schriftführerinnen, 0.038, 1.000, 0.038
gegenprobe, 0.038, 1.000, 0.038
ausgewiesen, 0.038, 1.000, 0.038
ablehnung, 0.037, 1.000, 0.037
abstimmungen, 0.037, 1.000, 0.037
happach, 0.034, 1.000, 0.034
kasan, 0.034, 1.000, 0.034
anhang, 0.034, 1.000, 0.034
nachträgliche, 0.033, 1.000, 0.033
artikel, 0.033, 1.000, 0.033
grundgesetzes, 0.033, 1.000, 0.033
endg, 0.032, 1.000, 0.032
ratsdok, 0.032, 1.000, 0.032
redner, 0.031, 1.000, 0.031
halbe, 0.031, 1.000, 0.031
zustimmen, 0.031, 1.000, 0.031
mitberatend, 0.031, 1.000, 0.031
haushaltsausschusses, 0.030, 1.000, 0.030
heidelberg, 0.030, 1.000, 0.030
dorothée, 0.030, 1.000, 0.030
namen, 0.030, 1.000, 0.030
ausschussüberweisung, 0.030, 1.000, 0.030
minuten, 0.029, 1.000, 0.029
abschließende, 0.029, 1.000, 0.029
stimmenverhältnis, 0.027, 1.000, 0.027
augsburg, 0.027, 1.000, 0.027
absatz, 0.027, 1.000, 0.027
gratulieren, 0.026, 1.000, 0.026
innenausschusses, 0.026, 1.000, 0.026
tagesordnungspunkten, 0.026, 1.000, 0.026
auszählung, 0.026, 1.000, 0.026
erstem, 0.026, 1.000, 0.026
strengmann, 0.026, 1.000, 0.026
spandau, 0.025, 1.000, 0.025
rosenheim, 0.025, 1.000, 0.025
anderweitige, 0.025, 1.000, 0.025
stellvertretendes, 0.025, 1.000, 0.025
konstanz, 0.024, 1.000, 0.024
sönksen, 0.024, 1.000, 0.024
wackernheim, 0.024, 1.000, 0.024
offenkundig, 0.023, 1.000, 0.023
auswärtigen, 0.023, 1.000, 0.023
schmeink, 0.023, 1.000, 0.023
stellungnahme, 0.023, 1.000, 0.023
leißner, 0.022, 1.000, 0.022
esslingen, 0.022, 1.000, 0.022
brömer, 0.022, 1.000, 0.022
grosse, 0.022, 1.000, 0.022
dargestellten, 0.021, 1.000, 0.021
doppelbesteuerung, 0.021, 1.000, 0.021
ablaufs, 0.021, 1.000, 0.021
immunität, 0.021, 1.000, 0.021
kleinsaara, 0.021, 1.000, 0.021
wahlprüfung, 0.021, 1.000, 0.021
gemmeke, 0.021, 1.000, 0.021
diejenigen, 0.021, 1.000, 0.021
ausschussüberweisungen, 0.020, 1.000, 0.020
dreiviertelstunde, 0.020, 1.000, 0.020
entschließungsanträge, 0.020, 1.000, 0.020
plauen, 0.020, 1.000, 0.020
backnang, 0.020, 1.000, 0.020
linksfraktion, 0.020, 1.000, 0.020
abgabe, 0.019, 1.000, 0.019
lasse, 0.019, 1.000, 0.019
weiden, 0.019, 1.000, 0.019
wendel, 0.019, 1.000, 0.019
schriftführern, 0.019, 1.000, 0.019
lichtenthäler, 0.019, 1.000, 0.019
sarai, 0.019, 1.000, 0.019
schwenningen, 0.019, 1.000, 0.019
djir, 0.019, 1.000, 0.019
heilbronn, 0.019, 1.000, 0.019
villingen, 0.019, 1.000, 0.019
aachen, 0.019, 1.000, 0.019
plätze, 0.019, 1.000, 0.019
stunden, 0.018, 1.000, 0.018
erfurt, 0.018, 1.000, 0.018
bönstrup, 0.018, 1.000, 0.018
bracht, 0.018, 1.000, 0.018
unstrittigen, 0.018, 1.000, 0.018
bendt, 0.018, 1.000, 0.018
heringen, 0.018, 1.000, 0.018
hierzu, 0.018, 1.000, 0.018
namentliche, 0.017, 1.000, 0.017
kyffhäuser, 0.016, 1.000, 0.016
dugnus, 0.016, 1.000, 0.016
aschenberg, 0.016, 1.000, 0.016
namentlichen, 0.016, 1.000, 0.016
mitgeteilt, 0.016, 1.000, 0.016
sehe, 0.015, 1.000, 0.015
