Group num., NTC
32, -0.322
49, -0.345
47, -0.350
48, -0.360
46, -0.373
38, -0.394
42, -0.399
30, -0.402
44, -0.411
37, -0.414
28, -0.417
45, -0.426
43, -0.437
40, -0.447
39, -0.448
41, -0.450
24, -0.466
23, -0.484
35, -0.484
36, -0.488
34, -0.490
21, -0.497
33, -0.511
15, -0.517
31, -0.526
29, -0.527
20, -0.536
25, -0.543
27, -0.548
22, -0.549
26, -0.583
9, -0.589
14, -0.592
16, -0.595
7, -0.603
19, -0.607
18, -0.608
17, -0.639
10, -0.686
13, -0.687
11, -0.692
12, -0.740
8, -0.831
6, -0.952
3, -0.958
5, -0.976
4, -1.058
1, -1.080
2, -1.205
0, -3.771
