Group num., NTC
49, -0.323
48, -0.453
45, -0.466
47, -0.470
43, -0.491
46, -0.491
44, -0.504
41, -0.531
42, -0.534
38, -0.550
40, -0.551
36, -0.593
39, -0.603
34, -0.606
35, -0.627
37, -0.637
26, -0.648
33, -0.686
32, -0.704
31, -0.705
29, -0.736
30, -0.744
23, -0.747
28, -0.757
27, -0.772
25, -0.793
24, -0.805
19, -0.810
18, -0.830
14, -0.855
22, -0.860
21, -0.896
17, -0.911
20, -0.955
16, -0.970
11, -0.975
15, -0.977
12, -1.192
13, -1.194
10, -1.259
9, -1.296
8, -1.438
5, -1.486
6, -1.890
7, -1.897
3, -2.161
4, -2.515
1, -3.032
2, -4.584
0, -4.801
